============================================================
[repair-train 1/5] old_shard=9 task=task_elections model=Qwen/Qwen3-32B
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_rft.json (3006 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_tfb.json (6012 rows)
[train] task=task_elections model=Qwen/Qwen3-32B method=rft -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_elections/Qwen/Qwen3-32B/rft/state.json
[train] encoding 3006 examples ...
[train] kept 3006/3006 examples after encoding
[train] 3006 datums, batch_size=32, total_steps=94
[train] epoch=0 step=1/94 loss=0.2772 lr=1.00e-04 elapsed=4.6s
[train] epoch=0 step=2/94 loss=0.2847 lr=2.00e-04 elapsed=8.0s
[train] epoch=0 step=3/94 loss=0.2716 lr=2.00e-04 elapsed=11.3s
[train] epoch=0 step=4/94 loss=0.3047 lr=2.00e-04 elapsed=14.3s
[train] epoch=0 step=5/94 loss=0.2840 lr=2.00e-04 elapsed=17.3s
[train] epoch=0 step=6/94 loss=0.2631 lr=2.00e-04 elapsed=20.3s
[train] epoch=0 step=7/94 loss=0.2806 lr=1.99e-04 elapsed=24.8s
[train] epoch=0 step=8/94 loss=0.2569 lr=1.99e-04 elapsed=29.9s
[train] epoch=0 step=9/94 loss=0.2711 lr=1.98e-04 elapsed=35.7s
[train] epoch=0 step=10/94 loss=0.2499 lr=1.97e-04 elapsed=40.8s
[train] epoch=0 step=11/94 loss=0.2712 lr=1.97e-04 elapsed=51.1s
[train] epoch=0 step=12/94 loss=0.2590 lr=1.96e-04 elapsed=62.0s
[train] epoch=0 step=13/94 loss=0.2538 lr=1.95e-04 elapsed=72.9s
[train] epoch=0 step=14/94 loss=0.2589 lr=1.94e-04 elapsed=82.5s
[train] epoch=0 step=15/94 loss=0.2446 lr=1.93e-04 elapsed=85.8s
