============================================================
[repair-train 2/5] old_shard=12 task=task_elections model=openai/gpt-oss-20b
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/openai/gpt-oss-20b/train_rft.json (3021 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/openai/gpt-oss-20b/train_tfb.json (6042 rows)
[train] task=task_elections model=openai/gpt-oss-20b method=rft -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_elections/openai/gpt-oss-20b/rft/state.json
[train] encoding 3021 examples ...
[train] kept 3021/3021 examples after encoding
[train] 3021 datums, batch_size=32, total_steps=95
[train] epoch=0 step=1/95 loss=0.6144 lr=1.00e-04 elapsed=3.3s
[train] epoch=0 step=2/95 loss=0.5966 lr=2.00e-04 elapsed=6.1s
[train] epoch=0 step=3/95 loss=0.5729 lr=2.00e-04 elapsed=8.6s
[train] epoch=0 step=4/95 loss=0.5662 lr=2.00e-04 elapsed=11.0s
[train] epoch=0 step=5/95 loss=0.5846 lr=2.00e-04 elapsed=13.4s
[train] epoch=0 step=6/95 loss=0.5830 lr=2.00e-04 elapsed=15.7s
[train] epoch=0 step=7/95 loss=0.5998 lr=1.99e-04 elapsed=18.1s
[train] epoch=0 step=8/95 loss=0.5892 lr=1.99e-04 elapsed=20.5s
[train] epoch=0 step=9/95 loss=0.5465 lr=1.98e-04 elapsed=23.8s
[train] epoch=0 step=10/95 loss=0.5433 lr=1.97e-04 elapsed=26.5s
[train] epoch=0 step=11/95 loss=0.5725 lr=1.97e-04 elapsed=28.7s
[train] epoch=0 step=12/95 loss=0.5438 lr=1.96e-04 elapsed=31.3s
[train] epoch=0 step=13/95 loss=0.5572 lr=1.95e-04 elapsed=34.8s
[train] epoch=0 step=14/95 loss=0.5455 lr=1.94e-04 elapsed=38.4s
[train] epoch=0 step=15/95 loss=0.5272 lr=1.93e-04 elapsed=41.4s
[train] epoch=0 step=16/95 loss=0.5664 lr=1.91e-04 elapsed=45.0s
[train] epoch=0 step=17/95 loss=0.5713 lr=1.90e-04 elapsed=48.1s
[train] epoch=0 step=18/95 loss=0.5523 lr=1.89e-04 elapsed=51.0s
[train] epoch=0 step=19/95 loss=0.5614 lr=1.87e-04 elapsed=54.0s
[train] epoch=0 step=20/95 loss=0.5349 lr=1.86e-04 elapsed=56.6s
