============================================================
[repair-train 3/5] old_shard=13 task=task_sales model=openai/gpt-oss-20b
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_sales/openai/gpt-oss-20b/train_rft.json (3066 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_sales/openai/gpt-oss-20b/train_tfb.json (6132 rows)
[train] task=task_sales model=openai/gpt-oss-20b method=rft -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_sales/openai/gpt-oss-20b/rft/state.json
[train] encoding 3066 examples ...
[train] kept 3066/3066 examples after encoding
[train] 3066 datums, batch_size=32, total_steps=96
[train] epoch=0 step=1/96 loss=0.5940 lr=1.00e-04 elapsed=3.9s
[train] epoch=0 step=2/96 loss=0.5861 lr=2.00e-04 elapsed=7.5s
[train] epoch=0 step=3/96 loss=0.6104 lr=2.00e-04 elapsed=13.2s
[train] epoch=0 step=4/96 loss=0.5897 lr=2.00e-04 elapsed=15.9s
[train] epoch=0 step=5/96 loss=0.5781 lr=2.00e-04 elapsed=18.5s
[train] epoch=0 step=6/96 loss=0.5586 lr=2.00e-04 elapsed=21.7s
[train] epoch=0 step=7/96 loss=0.5300 lr=1.99e-04 elapsed=23.9s
[train] epoch=0 step=8/96 loss=0.5681 lr=1.99e-04 elapsed=26.2s
[train] epoch=0 step=9/96 loss=0.5708 lr=1.98e-04 elapsed=28.7s
[train] epoch=0 step=10/96 loss=0.5430 lr=1.98e-04 elapsed=31.5s
[train] epoch=0 step=11/96 loss=0.5501 lr=1.97e-04 elapsed=33.7s
[train] epoch=0 step=12/96 loss=0.5677 lr=1.96e-04 elapsed=35.8s
[train] epoch=0 step=13/96 loss=0.5703 lr=1.95e-04 elapsed=38.8s
[train] epoch=0 step=14/96 loss=0.5344 lr=1.94e-04 elapsed=42.9s
[train] epoch=0 step=15/96 loss=0.5430 lr=1.93e-04 elapsed=45.2s
[train] epoch=0 step=16/96 loss=0.5556 lr=1.92e-04 elapsed=47.7s
[train] epoch=0 step=17/96 loss=0.5378 lr=1.90e-04 elapsed=50.2s
[train] epoch=0 step=18/96 loss=0.5612 lr=1.89e-04 elapsed=53.6s
[train] epoch=0 step=19/96 loss=0.5178 lr=1.87e-04 elapsed=55.8s
[train] epoch=0 step=20/96 loss=0.5573 lr=1.86e-04 elapsed=58.0s
[train] epoch=0 step=21/96 loss=0.5437 lr=1.84e-04 elapsed=60.2s
[train] epoch=0 step=22/96 loss=0.5056 lr=1.82e-04 elapsed=63.2s
[train] epoch=0 step=23/96 loss=0.5438 lr=1.81e-04 elapsed=65.5s
[train] epoch=0 step=24/96 loss=0.5354 lr=1.79e-04 elapsed=68.0s
[train] epoch=0 step=25/96 loss=0.5553 lr=1.77e-04 elapsed=71.8s
[train] epoch=0 step=26/96 loss=0.5439 lr=1.75e-04 elapsed=74.5s
[train] epoch=0 step=27/96 loss=0.5226 lr=1.73e-04 elapsed=77.3s
[train] epoch=0 step=28/96 loss=0.5415 lr=1.70e-04 elapsed=79.8s
[train] epoch=0 step=29/96 loss=0.5485 lr=1.68e-04 elapsed=82.2s
[train] epoch=0 step=30/96 loss=0.5180 lr=1.66e-04 elapsed=84.5s
[train] epoch=0 step=31/96 loss=0.5247 lr=1.63e-04 elapsed=87.2s
[train] epoch=0 step=32/96 loss=0.4736 lr=1.61e-04 elapsed=89.5s
[train] epoch=0 step=33/96 loss=0.5277 lr=1.58e-04 elapsed=92.6s
[train] epoch=0 step=34/96 loss=0.5017 lr=1.56e-04 elapsed=94.9s
[train] epoch=0 step=35/96 loss=0.5291 lr=1.53e-04 elapsed=97.3s
[train] epoch=0 step=36/96 loss=0.5472 lr=1.51e-04 elapsed=100.4s
[train] epoch=0 step=37/96 loss=0.5262 lr=1.48e-04 elapsed=105.4s
[train] epoch=0 step=38/96 loss=0.5016 lr=1.45e-04 elapsed=108.5s
[train] epoch=0 step=39/96 loss=0.5034 lr=1.42e-04 elapsed=112.1s
[train] epoch=0 step=40/96 loss=0.5069 lr=1.40e-04 elapsed=114.3s
[train] epoch=0 step=41/96 loss=0.5259 lr=1.37e-04 elapsed=117.5s
[train] epoch=0 step=42/96 loss=0.4908 lr=1.34e-04 elapsed=121.2s
[train] epoch=0 step=43/96 loss=0.4927 lr=1.31e-04 elapsed=123.3s
[train] epoch=0 step=44/96 loss=0.5140 lr=1.28e-04 elapsed=126.2s
[train] epoch=0 step=45/96 loss=0.5312 lr=1.25e-04 elapsed=139.1s
[train] epoch=0 step=46/96 loss=0.5045 lr=1.22e-04 elapsed=142.3s
[train] epoch=0 step=47/96 loss=0.4823 lr=1.19e-04 elapsed=145.7s
[train] epoch=0 step=48/96 loss=0.4852 lr=1.16e-04 elapsed=148.9s
[train] epoch=0 step=49/96 loss=0.5304 lr=1.13e-04 elapsed=151.8s
[train] epoch=0 step=50/96 loss=0.4979 lr=1.10e-04 elapsed=154.1s
[train] epoch=0 step=51/96 loss=0.5015 lr=1.07e-04 elapsed=157.7s
[train] epoch=0 step=52/96 loss=0.4876 lr=1.04e-04 elapsed=161.8s
[train] epoch=0 step=53/96 loss=0.4997 lr=1.01e-04 elapsed=164.6s
[train] epoch=0 step=54/96 loss=0.5190 lr=9.80e-05 elapsed=167.6s
[train] epoch=0 step=55/96 loss=0.4705 lr=9.50e-05 elapsed=172.0s
[train] epoch=0 step=56/96 loss=0.4628 lr=9.21e-05 elapsed=175.8s
[train] epoch=0 step=57/96 loss=0.4856 lr=8.91e-05 elapsed=179.2s
[train] epoch=0 step=58/96 loss=0.4793 lr=8.62e-05 elapsed=181.7s
[train] epoch=0 step=59/96 loss=0.4908 lr=8.33e-05 elapsed=193.2s
[train] epoch=0 step=60/96 loss=0.4997 lr=8.05e-05 elapsed=196.5s
[train] epoch=0 step=61/96 loss=0.4858 lr=7.77e-05 elapsed=200.0s
[train] epoch=0 step=62/96 loss=0.4946 lr=7.49e-05 elapsed=204.2s
[train] epoch=0 step=63/96 loss=0.4595 lr=7.21e-05 elapsed=206.9s
[train] epoch=0 step=64/96 loss=0.4657 lr=6.94e-05 elapsed=209.3s
[train] epoch=0 step=65/96 loss=0.4672 lr=6.67e-05 elapsed=213.0s
[train] epoch=0 step=66/96 loss=0.4746 lr=6.41e-05 elapsed=216.1s
[train] epoch=0 step=67/96 loss=0.4869 lr=6.16e-05 elapsed=219.6s
[train] epoch=0 step=68/96 loss=0.4809 lr=5.91e-05 elapsed=223.4s
[train] epoch=0 step=69/96 loss=0.4855 lr=5.66e-05 elapsed=227.4s
[train] epoch=0 step=70/96 loss=0.4766 lr=5.42e-05 elapsed=231.6s
[train] epoch=0 step=71/96 loss=0.4858 lr=5.19e-05 elapsed=234.2s
[train] epoch=0 step=72/96 loss=0.4606 lr=4.96e-05 elapsed=237.3s
[train] epoch=0 step=73/96 loss=0.4941 lr=4.74e-05 elapsed=250.0s
[train] epoch=0 step=74/96 loss=0.4875 lr=4.53e-05 elapsed=253.1s
[train] epoch=0 step=75/96 loss=0.5082 lr=4.33e-05 elapsed=256.6s
[train] epoch=0 step=76/96 loss=0.4726 lr=4.13e-05 elapsed=261.3s
[train] epoch=0 step=77/96 loss=0.4461 lr=3.94e-05 elapsed=264.9s
[train] epoch=0 step=78/96 loss=0.4697 lr=3.75e-05 elapsed=268.1s
[train] epoch=0 step=79/96 loss=0.4503 lr=3.58e-05 elapsed=271.1s
[train] epoch=0 step=80/96 loss=0.4760 lr=3.41e-05 elapsed=273.5s
[train] epoch=0 step=81/96 loss=0.4384 lr=3.26e-05 elapsed=275.8s
[train] epoch=0 step=82/96 loss=0.4492 lr=3.11e-05 elapsed=279.1s
[train] epoch=0 step=83/96 loss=0.4493 lr=2.97e-05 elapsed=282.3s
[train] epoch=0 step=84/96 loss=0.4642 lr=2.84e-05 elapsed=285.0s
[train] epoch=0 step=85/96 loss=0.4745 lr=2.71e-05 elapsed=288.2s
[train] epoch=0 step=86/96 loss=0.4416 lr=2.60e-05 elapsed=292.3s
[train] epoch=0 step=87/96 loss=0.4473 lr=2.50e-05 elapsed=305.1s
[train] epoch=0 step=88/96 loss=0.4412 lr=2.40e-05 elapsed=308.0s
[train] epoch=0 step=89/96 loss=0.4895 lr=2.32e-05 elapsed=311.5s
[train] epoch=0 step=90/96 loss=0.4648 lr=2.25e-05 elapsed=314.1s
[train] epoch=0 step=91/96 loss=0.4558 lr=2.18e-05 elapsed=317.1s
[train] epoch=0 step=92/96 loss=0.4517 lr=2.13e-05 elapsed=319.5s
[train] epoch=0 step=93/96 loss=0.4361 lr=2.08e-05 elapsed=322.0s
[train] epoch=0 step=94/96 loss=0.4911 lr=2.05e-05 elapsed=325.3s
[train] epoch=0 step=95/96 loss=0.4475 lr=2.02e-05 elapsed=327.6s
[train] epoch=0 step=96/96 loss=0.4079 lr=2.01e-05 elapsed=330.3s
[train] final checkpoint -> tinker://be06afe5-b6a7-51a6-9737-f85002d9b6d1:train:0/sampler_weights/sft__task_sales__openai__gpt-oss-20b__rft__final
[train] saved state -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_sales/openai/gpt-oss-20b/rft/state.json
[train] task=task_sales model=openai/gpt-oss-20b method=tfb -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_sales/openai/gpt-oss-20b/tfb/state.json
[train] encoding 6132 examples ...
[train] kept 6132/6132 examples after encoding
[train] 6132 datums, batch_size=32, total_steps=192
[train] epoch=0 step=1/192 loss=1.0269 lr=4.00e-05 elapsed=2.8s
[train] epoch=0 step=2/192 loss=0.9960 lr=8.00e-05 elapsed=5.1s
[train] epoch=0 step=3/192 loss=1.0450 lr=1.20e-04 elapsed=7.6s
[train] epoch=0 step=4/192 loss=0.7809 lr=1.60e-04 elapsed=10.7s
[train] epoch=0 step=5/192 loss=0.8828 lr=2.00e-04 elapsed=12.9s
[train] epoch=0 step=6/192 loss=0.7544 lr=2.00e-04 elapsed=15.9s
[train] epoch=0 step=7/192 loss=0.7318 lr=2.00e-04 elapsed=18.2s
[train] epoch=0 step=8/192 loss=0.7462 lr=2.00e-04 elapsed=20.6s
[train] epoch=0 step=9/192 loss=0.6842 lr=2.00e-04 elapsed=23.0s
[train] epoch=0 step=10/192 loss=0.6966 lr=2.00e-04 elapsed=25.4s
[train] epoch=0 step=11/192 loss=0.6318 lr=2.00e-04 elapsed=27.7s
[train] epoch=0 step=12/192 loss=0.6540 lr=2.00e-04 elapsed=31.6s
[train] epoch=0 step=13/192 loss=0.6417 lr=1.99e-04 elapsed=34.2s
[train] epoch=0 step=14/192 loss=0.6074 lr=1.99e-04 elapsed=36.6s
[train] epoch=0 step=15/192 loss=0.6144 lr=1.99e-04 elapsed=39.2s
[train] epoch=0 step=16/192 loss=0.6209 lr=1.99e-04 elapsed=42.4s
[train] epoch=0 step=17/192 loss=0.6402 lr=1.98e-04 elapsed=44.8s
[train] epoch=0 step=18/192 loss=0.6356 lr=1.98e-04 elapsed=47.2s
[train] epoch=0 step=19/192 loss=0.6588 lr=1.98e-04 elapsed=50.1s
[train] epoch=0 step=20/192 loss=0.5859 lr=1.98e-04 elapsed=52.5s
[train] epoch=0 step=21/192 loss=0.6143 lr=1.97e-04 elapsed=54.9s
[train] epoch=0 step=22/192 loss=0.5788 lr=1.97e-04 elapsed=57.4s
[train] epoch=0 step=23/192 loss=0.6028 lr=1.96e-04 elapsed=61.0s
[train] epoch=0 step=24/192 loss=0.6351 lr=1.96e-04 elapsed=64.0s
[train] epoch=0 step=25/192 loss=0.5886 lr=1.95e-04 elapsed=66.2s
[train] epoch=0 step=26/192 loss=0.6135 lr=1.95e-04 elapsed=69.0s
[train] epoch=0 step=27/192 loss=0.5761 lr=1.94e-04 elapsed=72.5s
[train] epoch=0 step=28/192 loss=0.5970 lr=1.94e-04 elapsed=74.9s
[train] epoch=0 step=29/192 loss=0.5992 lr=1.93e-04 elapsed=77.2s
[train] epoch=0 step=30/192 loss=0.6051 lr=1.93e-04 elapsed=80.1s
[train] epoch=0 step=31/192 loss=0.5901 lr=1.92e-04 elapsed=83.2s
[train] epoch=0 step=32/192 loss=0.6497 lr=1.92e-04 elapsed=85.7s
[train] epoch=0 step=33/192 loss=0.5579 lr=1.91e-04 elapsed=88.0s
[train] epoch=0 step=34/192 loss=0.5702 lr=1.90e-04 elapsed=91.9s
[train] epoch=0 step=35/192 loss=0.5782 lr=1.90e-04 elapsed=94.5s
[train] epoch=0 step=36/192 loss=0.5327 lr=1.89e-04 elapsed=97.1s
[train] epoch=0 step=37/192 loss=0.5655 lr=1.88e-04 elapsed=100.9s
[train] epoch=0 step=38/192 loss=0.5614 lr=1.87e-04 elapsed=103.3s
[train] epoch=0 step=39/192 loss=0.6026 lr=1.87e-04 elapsed=106.2s
[train] epoch=0 step=40/192 loss=0.5880 lr=1.86e-04 elapsed=108.4s
[train] epoch=0 step=41/192 loss=0.5705 lr=1.85e-04 elapsed=110.7s
[train] epoch=0 step=42/192 loss=0.5744 lr=1.84e-04 elapsed=113.1s
[train] epoch=0 step=43/192 loss=0.5916 lr=1.83e-04 elapsed=115.7s
[train] epoch=0 step=44/192 loss=0.5873 lr=1.82e-04 elapsed=118.1s
[train] epoch=0 step=45/192 loss=0.5867 lr=1.81e-04 elapsed=121.4s
[train] epoch=0 step=46/192 loss=0.5271 lr=1.80e-04 elapsed=124.3s
[train] epoch=0 step=47/192 loss=0.5482 lr=1.79e-04 elapsed=126.5s
[train] epoch=0 step=48/192 loss=0.5525 lr=1.79e-04 elapsed=129.2s
[train] epoch=0 step=49/192 loss=0.5901 lr=1.78e-04 elapsed=132.4s
[train] epoch=0 step=50/192 loss=0.6066 lr=1.77e-04 elapsed=134.8s
[train] epoch=0 step=51/192 loss=0.5724 lr=1.75e-04 elapsed=137.0s
[train] epoch=0 step=52/192 loss=0.5427 lr=1.74e-04 elapsed=139.2s
[train] epoch=0 step=53/192 loss=0.5585 lr=1.73e-04 elapsed=142.1s
[train] epoch=0 step=54/192 loss=0.5256 lr=1.72e-04 elapsed=144.5s
[train] epoch=0 step=55/192 loss=0.5673 lr=1.71e-04 elapsed=147.3s
[train] epoch=0 step=56/192 loss=0.5589 lr=1.70e-04 elapsed=151.0s
[train] epoch=0 step=57/192 loss=0.5428 lr=1.69e-04 elapsed=153.2s
[train] epoch=0 step=58/192 loss=0.5295 lr=1.68e-04 elapsed=155.9s
[train] epoch=0 step=59/192 loss=0.5996 lr=1.67e-04 elapsed=158.5s
[train] epoch=0 step=60/192 loss=0.5617 lr=1.65e-04 elapsed=160.9s
[train] epoch=0 step=61/192 loss=0.5510 lr=1.64e-04 elapsed=163.3s
[train] epoch=0 step=62/192 loss=0.5477 lr=1.63e-04 elapsed=166.1s
[train] epoch=0 step=63/192 loss=0.5400 lr=1.62e-04 elapsed=168.3s
[train] epoch=0 step=64/192 loss=0.5195 lr=1.61e-04 elapsed=170.7s
[train] epoch=0 step=65/192 loss=0.5654 lr=1.59e-04 elapsed=172.9s
[train] epoch=0 step=66/192 loss=0.5107 lr=1.58e-04 elapsed=175.3s
[train] epoch=0 step=67/192 loss=0.5234 lr=1.57e-04 elapsed=177.6s
[train] epoch=0 step=68/192 loss=0.5704 lr=1.55e-04 elapsed=181.7s
[train] epoch=0 step=69/192 loss=0.5604 lr=1.54e-04 elapsed=184.3s
[train] epoch=0 step=70/192 loss=0.5420 lr=1.53e-04 elapsed=187.3s
[train] epoch=0 step=71/192 loss=0.5440 lr=1.51e-04 elapsed=190.6s
[train] epoch=0 step=72/192 loss=0.5473 lr=1.50e-04 elapsed=192.7s
[train] epoch=0 step=73/192 loss=0.5368 lr=1.49e-04 elapsed=195.0s
[train] epoch=0 step=74/192 loss=0.5245 lr=1.47e-04 elapsed=197.4s
[train] epoch=0 step=75/192 loss=0.5135 lr=1.46e-04 elapsed=200.5s
[train] epoch=0 step=76/192 loss=0.5643 lr=1.45e-04 elapsed=202.8s
[train] epoch=0 step=77/192 loss=0.5510 lr=1.43e-04 elapsed=205.2s
[train] epoch=0 step=78/192 loss=0.5296 lr=1.42e-04 elapsed=207.8s
[train] epoch=0 step=79/192 loss=0.5347 lr=1.40e-04 elapsed=211.0s
[train] epoch=0 step=80/192 loss=0.5630 lr=1.39e-04 elapsed=213.7s
[train] epoch=0 step=81/192 loss=0.5594 lr=1.38e-04 elapsed=216.4s
[train] epoch=0 step=82/192 loss=0.5504 lr=1.36e-04 elapsed=219.0s
[train] epoch=0 step=83/192 loss=0.5459 lr=1.35e-04 elapsed=222.2s
[train] epoch=0 step=84/192 loss=0.4967 lr=1.33e-04 elapsed=224.6s
[train] epoch=0 step=85/192 loss=0.5231 lr=1.32e-04 elapsed=227.0s
[train] epoch=0 step=86/192 loss=0.5440 lr=1.30e-04 elapsed=229.3s
[train] epoch=0 step=87/192 loss=0.5386 lr=1.29e-04 elapsed=232.1s
[train] epoch=0 step=88/192 loss=0.5284 lr=1.27e-04 elapsed=234.5s
[train] epoch=0 step=89/192 loss=0.5165 lr=1.26e-04 elapsed=236.8s
[train] epoch=0 step=90/192 loss=0.5545 lr=1.24e-04 elapsed=240.7s
[train] epoch=0 step=91/192 loss=0.5201 lr=1.23e-04 elapsed=243.1s
[train] epoch=0 step=92/192 loss=0.5353 lr=1.21e-04 elapsed=245.4s
[train] epoch=0 step=93/192 loss=0.5416 lr=1.20e-04 elapsed=247.9s
[train] epoch=0 step=94/192 loss=0.5123 lr=1.18e-04 elapsed=251.1s
[train] epoch=0 step=95/192 loss=0.5345 lr=1.17e-04 elapsed=253.5s
[train] epoch=0 step=96/192 loss=0.5379 lr=1.15e-04 elapsed=256.2s
[train] epoch=0 step=97/192 loss=0.5450 lr=1.14e-04 elapsed=258.3s
[train] epoch=0 step=98/192 loss=0.5053 lr=1.12e-04 elapsed=260.8s
[train] epoch=0 step=99/192 loss=0.5348 lr=1.11e-04 elapsed=263.2s
[train] epoch=0 step=100/192 loss=0.5211 lr=1.09e-04 elapsed=265.9s
[train] epoch=0 step=101/192 loss=0.5643 lr=1.08e-04 elapsed=268.2s
[train] epoch=0 step=102/192 loss=0.5368 lr=1.06e-04 elapsed=271.1s
[train] epoch=0 step=103/192 loss=0.4735 lr=1.05e-04 elapsed=273.5s
[train] epoch=0 step=104/192 loss=0.5398 lr=1.03e-04 elapsed=275.9s
[train] epoch=0 step=105/192 loss=0.4993 lr=1.02e-04 elapsed=278.5s
[train] epoch=0 step=106/192 loss=0.4986 lr=1.00e-04 elapsed=281.1s
[train] epoch=0 step=107/192 loss=0.4876 lr=9.87e-05 elapsed=283.5s
[train] epoch=0 step=108/192 loss=0.4969 lr=9.72e-05 elapsed=286.1s
[train] epoch=0 step=109/192 loss=0.5221 lr=9.57e-05 elapsed=288.3s
[train] epoch=0 step=110/192 loss=0.5124 lr=9.42e-05 elapsed=290.6s
[train] epoch=0 step=111/192 loss=0.5443 lr=9.27e-05 elapsed=292.8s
[train] epoch=0 step=112/192 loss=0.4857 lr=9.12e-05 elapsed=295.2s
[train] epoch=0 step=113/192 loss=0.5236 lr=8.98e-05 elapsed=298.0s
[train] epoch=0 step=114/192 loss=0.4909 lr=8.83e-05 elapsed=301.1s
[train] epoch=0 step=115/192 loss=0.5135 lr=8.68e-05 elapsed=304.2s
[train] epoch=0 step=116/192 loss=0.4907 lr=8.54e-05 elapsed=306.5s
[train] epoch=0 step=117/192 loss=0.5039 lr=8.39e-05 elapsed=309.2s
[train] epoch=0 step=118/192 loss=0.4954 lr=8.25e-05 elapsed=312.4s
[train] epoch=0 step=119/192 loss=0.4827 lr=8.10e-05 elapsed=315.0s
[train] epoch=0 step=120/192 loss=0.5181 lr=7.96e-05 elapsed=317.2s
[train] epoch=0 step=121/192 loss=0.4861 lr=7.82e-05 elapsed=319.4s
[train] epoch=0 step=122/192 loss=0.4816 lr=7.68e-05 elapsed=321.9s
[train] epoch=0 step=123/192 loss=0.4899 lr=7.54e-05 elapsed=324.1s
[train] epoch=0 step=124/192 loss=0.4824 lr=7.40e-05 elapsed=326.4s
[train] epoch=0 step=125/192 loss=0.4770 lr=7.26e-05 elapsed=329.0s
[train] epoch=0 step=126/192 loss=0.4953 lr=7.12e-05 elapsed=331.9s
[train] epoch=0 step=127/192 loss=0.5117 lr=6.99e-05 elapsed=334.8s
[train] epoch=0 step=128/192 loss=0.4949 lr=6.85e-05 elapsed=337.3s
[train] epoch=0 step=129/192 loss=0.4917 lr=6.72e-05 elapsed=340.7s
[train] epoch=0 step=130/192 loss=0.4836 lr=6.59e-05 elapsed=342.8s
[train] epoch=0 step=131/192 loss=0.5116 lr=6.46e-05 elapsed=345.2s
[train] epoch=0 step=132/192 loss=0.4721 lr=6.33e-05 elapsed=347.6s
[train] epoch=0 step=133/192 loss=0.4655 lr=6.20e-05 elapsed=350.3s
[train] epoch=0 step=134/192 loss=0.5389 lr=6.07e-05 elapsed=352.5s
[train] epoch=0 step=135/192 loss=0.5114 lr=5.95e-05 elapsed=354.9s
[train] epoch=0 step=136/192 loss=0.4850 lr=5.82e-05 elapsed=357.3s
[train] epoch=0 step=137/192 loss=0.4850 lr=5.70e-05 elapsed=361.1s
[train] epoch=0 step=138/192 loss=0.5001 lr=5.58e-05 elapsed=363.3s
[train] epoch=0 step=139/192 loss=0.4972 lr=5.46e-05 elapsed=365.9s
[train] epoch=0 step=140/192 loss=0.5042 lr=5.34e-05 elapsed=368.8s
[train] epoch=0 step=141/192 loss=0.5096 lr=5.22e-05 elapsed=372.6s
[train] epoch=0 step=142/192 loss=0.4598 lr=5.11e-05 elapsed=374.8s
[train] epoch=0 step=143/192 loss=0.4428 lr=4.99e-05 elapsed=377.0s
[train] epoch=0 step=144/192 loss=0.4686 lr=4.88e-05 elapsed=379.3s
