============================================================
[repair-train 4/5] old_shard=14 task=task_sm model=openai/gpt-oss-20b
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_sm/openai/gpt-oss-20b/train_rft.json (3069 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_sm/openai/gpt-oss-20b/train_tfb.json (6138 rows)
[train] task=task_sm model=openai/gpt-oss-20b method=rft -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_sm/openai/gpt-oss-20b/rft/state.json
[train] encoding 3069 examples ...
[train] kept 3069/3069 examples after encoding
[train] 3069 datums, batch_size=32, total_steps=96
[train] epoch=0 step=1/96 loss=0.3740 lr=1.00e-04 elapsed=4.3s
[train] epoch=0 step=2/96 loss=0.3368 lr=2.00e-04 elapsed=7.5s
[train] epoch=0 step=3/96 loss=0.3893 lr=2.00e-04 elapsed=10.8s
[train] epoch=0 step=4/96 loss=0.3722 lr=2.00e-04 elapsed=15.5s
[train] epoch=0 step=5/96 loss=0.3620 lr=2.00e-04 elapsed=18.3s
[train] epoch=0 step=6/96 loss=0.3377 lr=2.00e-04 elapsed=21.2s
[train] epoch=0 step=7/96 loss=0.3277 lr=1.99e-04 elapsed=25.9s
[train] epoch=0 step=8/96 loss=0.3513 lr=1.99e-04 elapsed=29.1s
[train] epoch=0 step=9/96 loss=0.3390 lr=1.98e-04 elapsed=32.9s
[train] epoch=0 step=10/96 loss=0.3512 lr=1.98e-04 elapsed=36.2s
[train] epoch=0 step=11/96 loss=0.3410 lr=1.97e-04 elapsed=39.5s
[train] epoch=0 step=12/96 loss=0.3362 lr=1.96e-04 elapsed=42.7s
[train] epoch=0 step=13/96 loss=0.3388 lr=1.95e-04 elapsed=45.8s
[train] epoch=0 step=14/96 loss=0.3671 lr=1.94e-04 elapsed=49.4s
[train] epoch=0 step=15/96 loss=0.3295 lr=1.93e-04 elapsed=53.6s
[train] epoch=0 step=16/96 loss=0.3414 lr=1.92e-04 elapsed=56.9s
[train] epoch=0 step=17/96 loss=0.3304 lr=1.90e-04 elapsed=60.6s
[train] epoch=0 step=18/96 loss=0.3455 lr=1.89e-04 elapsed=63.9s
[train] epoch=0 step=19/96 loss=0.3648 lr=1.87e-04 elapsed=67.1s
[train] epoch=0 step=20/96 loss=0.3266 lr=1.86e-04 elapsed=70.2s
[train] epoch=0 step=21/96 loss=0.3436 lr=1.84e-04 elapsed=73.8s
[train] epoch=0 step=22/96 loss=0.3367 lr=1.82e-04 elapsed=77.1s
[train] epoch=0 step=23/96 loss=0.3472 lr=1.81e-04 elapsed=80.3s
[train] epoch=0 step=24/96 loss=0.3557 lr=1.79e-04 elapsed=83.9s
[train] epoch=0 step=25/96 loss=0.3671 lr=1.77e-04 elapsed=87.3s
[train] epoch=0 step=26/96 loss=0.3479 lr=1.75e-04 elapsed=90.3s
[train] epoch=0 step=27/96 loss=0.3474 lr=1.73e-04 elapsed=93.8s
[train] epoch=0 step=28/96 loss=0.3230 lr=1.70e-04 elapsed=97.1s
[train] epoch=0 step=29/96 loss=0.3511 lr=1.68e-04 elapsed=100.0s
[train] epoch=0 step=30/96 loss=0.3002 lr=1.66e-04 elapsed=104.0s
[train] epoch=0 step=31/96 loss=0.3043 lr=1.63e-04 elapsed=107.3s
[train] epoch=0 step=32/96 loss=0.2874 lr=1.61e-04 elapsed=110.4s
[train] epoch=0 step=33/96 loss=0.3524 lr=1.58e-04 elapsed=114.2s
[train] epoch=0 step=34/96 loss=0.3251 lr=1.56e-04 elapsed=117.4s
[train] epoch=0 step=35/96 loss=0.3382 lr=1.53e-04 elapsed=120.9s
[train] epoch=0 step=36/96 loss=0.3297 lr=1.51e-04 elapsed=123.5s
[train] epoch=0 step=37/96 loss=0.3422 lr=1.48e-04 elapsed=126.2s
[train] epoch=0 step=38/96 loss=0.2994 lr=1.45e-04 elapsed=129.5s
[train] epoch=0 step=39/96 loss=0.3842 lr=1.42e-04 elapsed=132.6s
[train] epoch=0 step=40/96 loss=0.3535 lr=1.40e-04 elapsed=135.7s
[train] epoch=0 step=41/96 loss=0.3259 lr=1.37e-04 elapsed=138.8s
[train] epoch=0 step=42/96 loss=0.2973 lr=1.34e-04 elapsed=142.6s
[train] epoch=0 step=43/96 loss=0.3822 lr=1.31e-04 elapsed=146.7s
[train] epoch=0 step=44/96 loss=0.3407 lr=1.28e-04 elapsed=149.9s
[train] epoch=0 step=45/96 loss=0.2875 lr=1.25e-04 elapsed=154.0s
[train] epoch=0 step=46/96 loss=0.3512 lr=1.22e-04 elapsed=157.0s
[train] epoch=0 step=47/96 loss=0.3103 lr=1.19e-04 elapsed=160.3s
[train] epoch=0 step=48/96 loss=0.3075 lr=1.16e-04 elapsed=163.6s
[train] epoch=0 step=49/96 loss=0.3158 lr=1.13e-04 elapsed=166.6s
[train] epoch=0 step=50/96 loss=0.3030 lr=1.10e-04 elapsed=170.3s
[train] epoch=0 step=51/96 loss=0.3525 lr=1.07e-04 elapsed=173.6s
[train] epoch=0 step=52/96 loss=0.3213 lr=1.04e-04 elapsed=176.6s
[train] epoch=0 step=53/96 loss=0.3360 lr=1.01e-04 elapsed=180.1s
[train] epoch=0 step=54/96 loss=0.3240 lr=9.80e-05 elapsed=184.0s
[train] epoch=0 step=55/96 loss=0.2838 lr=9.50e-05 elapsed=187.1s
[train] epoch=0 step=56/96 loss=0.3003 lr=9.21e-05 elapsed=190.6s
[train] epoch=0 step=57/96 loss=0.3655 lr=8.91e-05 elapsed=193.5s
[train] epoch=0 step=58/96 loss=0.3470 lr=8.62e-05 elapsed=196.6s
[train] epoch=0 step=59/96 loss=0.2975 lr=8.33e-05 elapsed=200.0s
[train] epoch=0 step=60/96 loss=0.2959 lr=8.05e-05 elapsed=203.9s
[train] epoch=0 step=61/96 loss=0.3375 lr=7.77e-05 elapsed=207.3s
[train] epoch=0 step=62/96 loss=0.3245 lr=7.49e-05 elapsed=210.8s
[train] epoch=0 step=63/96 loss=0.3137 lr=7.21e-05 elapsed=214.0s
[train] epoch=0 step=64/96 loss=0.3045 lr=6.94e-05 elapsed=217.3s
[train] epoch=0 step=65/96 loss=0.3269 lr=6.67e-05 elapsed=220.6s
[train] epoch=0 step=66/96 loss=0.3028 lr=6.41e-05 elapsed=223.4s
[train] epoch=0 step=67/96 loss=0.3255 lr=6.16e-05 elapsed=227.4s
[train] epoch=0 step=68/96 loss=0.3284 lr=5.91e-05 elapsed=231.4s
[train] epoch=0 step=69/96 loss=0.3442 lr=5.66e-05 elapsed=235.1s
[train] epoch=0 step=70/96 loss=0.3260 lr=5.42e-05 elapsed=238.6s
[train] epoch=0 step=71/96 loss=0.3260 lr=5.19e-05 elapsed=242.9s
[train] epoch=0 step=72/96 loss=0.3306 lr=4.96e-05 elapsed=246.2s
[train] epoch=0 step=73/96 loss=0.3281 lr=4.74e-05 elapsed=249.5s
[train] epoch=0 step=74/96 loss=0.2959 lr=4.53e-05 elapsed=252.8s
[train] epoch=0 step=75/96 loss=0.3301 lr=4.33e-05 elapsed=256.0s
[train] epoch=0 step=76/96 loss=0.2945 lr=4.13e-05 elapsed=259.2s
[train] epoch=0 step=77/96 loss=0.2668 lr=3.94e-05 elapsed=263.1s
[train] epoch=0 step=78/96 loss=0.3198 lr=3.75e-05 elapsed=266.2s
[train] epoch=0 step=79/96 loss=0.2948 lr=3.58e-05 elapsed=269.7s
[train] epoch=0 step=80/96 loss=0.3378 lr=3.41e-05 elapsed=273.1s
[train] epoch=0 step=81/96 loss=0.2955 lr=3.26e-05 elapsed=276.5s
